0,405, （6）MM引起的活动性中枢神经系统受累
0,1063, （4）消化性溃疡活动期
0,1519,(1)非特发性脊柱侧凸如神经肌肉疾病引起的脊柱侧凸、功能性脊柱侧凸等
0,1903, ② 不配合随访者；
0,2181, ⑵尚未进行临床干预治疗
0,2655, 5)对TKI无过敏者。 
0,3720, 9）研究者认为应排除在本研究之外的其他任何情况。 
0,3827, ⑦ 反复根除幽门螺杆菌失败者；
0,3998, 3）有过敏史；
0,4956, ⑥过敏体质者；
0,5405, （6）追加预防性肠造口的患者；
0,6248, 2.全口牙数≥20颗；
0,7359, （3）肝脏病理学诊断：符合S3
0,7501, （12）放疗涉及下颌骨。
0,7894, 7）研究者认为应当排除的其它病例。 
0,8410,1）对钛合金内植物过敏的患者 
0,9378,(1) 创伤性丘脑出血;
0,9423, 6. 造血系统疾病；
0,9534, （8）研究者认为应排除在本研究之外的其他任何情况。 
0,10071, （2）生化检查：  
0,10179, 无视网膜神经纤维层（RNFL）缺损
0,10227, 3.食管病变
0,10743, 3) 已行影像学评估；
0,10801, 14、研究者认为不适合参加该试验的任何其他情况等。 
0,12064, ③未经超声小探头探查的病例；
0,12772, (20) 不能耐受活性炭者；
0,13707, 4）外伤所致者
0,14046, 11)不能耐受静脉采血；
0,14866, 3.不能耐受再次大肠镜检查者
0,15803, 2.骨缺损＞6cm。
0,16339,1.活动性GVHD
0,17175, 7.正在参与影响本研究结果评价的其他临床试验 
0,17782, -FBTG ≥ 1.7 mmol/L; and
0,17915, 9)要求隐瞒病情的患者
0,18065, 6.胃肠道不能有效使用者。
0,18356, 3）不包含执业助理医师、执业助理药师。 
0,19421, 7.未参加其它临床研究者。                                 
1,6, （5）发病后48小时内；
1,53, 2.KPS≥70分。
1,80, 5)四周之内有参加其他试验药物或器械的临床试验者；
1,104, 19.酒精呼气检测异常（可接受范围为：0~3mg/100mL）；
1,135,(1)不能经口进食者；
1,212, 2.基础血压＜150/100mmHg且≥110/70mmHg的患者；
1,231, 2.DXA测得腰椎BMD的T值≤2.5SD，≥4.0SD。 
1,270, ⑤IIEF指数在8～21分之间。 
1,284, 3.伤后24小时内入院；
1,330, 1.3 第三次24小时检查
1,400,1，神经系统功能障碍，格拉斯哥昏迷评分(GCS)≤12分
1,406, 2.符合中医热哮辩证标准；
1,480, 3）汉密尔顿抑郁量表17项（HAMD-17）评分≥18分；
1,490, (4)腋下体温≥39.0℃。
1,494, (19) PaO2＜80mmHg和（或）PCO2＞45mmHg；
1,585, （4）肿瘤占全肝的比例大于70%；
1,658, 9)在损伤以下的部分，保有节段反射；
1,670, ④ 膀胱容量≥200ml。  
1,689, （2）匹兹堡睡眠质量指数低于7分者；
1,701, 4）基础收缩压&lt;100mmHg
1,779, （3）B 超示肿瘤局限甲状腺内，每病灶最大径 ≤ 4cm；
1,847, 3）UPDRS的运动评分≥2分；
1,849, ③ 骨髓检查巨核细胞数增多或正常，有成熟障碍；
1,856, （6）患者至少有1个或1个以上的粥样斑块危险因素，高血压、糖尿病、高血脂、高同型半胱氨酸血症或吸烟史；
1,864, （3）视力或者矫正视力正常； 
